,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,13,0.1,4,1,0.5859912445278299,0.5947721179624665
1,9,0.1,4,5,0.5866166353971232,0.6065683646112601
2,5,0.1,4,10,0.590368980612883,0.6097855227882037
3,7,0.1,4,50,0.5878674171357098,0.6084450402144772
4,17,0.1,6,1,0.5816135084427767,0.6284182305630027
5,3,0.1,6,5,0.5928705440900562,0.6579088471849865
6,13,0.1,6,10,0.5859912445278299,0.65656836461126
7,1,0.1,6,50,0.5934959349593496,0.6567024128686327
8,23,0.1,10,1,0.5584740462789243,0.6857908847184987
9,21,0.1,10,5,0.5634771732332708,0.7859249329758713
10,19,0.1,10,10,0.5709818636647905,0.8095174262734585
11,9,0.1,10,50,0.5866166353971232,0.8467828418230563
12,13,0.3,4,1,0.5859912445278299,0.5947721179624665
13,9,0.3,4,5,0.5866166353971232,0.6065683646112601
14,5,0.3,4,10,0.590368980612883,0.6097855227882037
15,7,0.3,4,50,0.5878674171357098,0.6084450402144772
16,17,0.3,6,1,0.5816135084427767,0.6284182305630027
17,3,0.3,6,5,0.5928705440900562,0.6579088471849865
18,13,0.3,6,10,0.5859912445278299,0.65656836461126
19,1,0.3,6,50,0.5934959349593496,0.6567024128686327
20,23,0.3,10,1,0.5584740462789243,0.6857908847184987
21,21,0.3,10,5,0.5634771732332708,0.7859249329758713
22,19,0.3,10,10,0.5709818636647905,0.8095174262734585
23,9,0.3,10,50,0.5866166353971232,0.8467828418230563
