,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,15,0.1,4,1,0.551594746716698,0.5793565683646112
1,3,0.1,4,5,0.5641025641025641,0.5872654155495979
2,5,0.1,4,10,0.5616010006253909,0.5969168900804289
3,5,0.1,4,50,0.5616010006253909,0.5935656836461126
4,17,0.1,6,1,0.5484677923702314,0.6058981233243967
5,9,0.1,6,5,0.5597248280175109,0.636058981233244
6,11,0.1,6,10,0.557848655409631,0.6513404825737266
7,1,0.1,6,50,0.5653533458411507,0.6510723860589812
8,21,0.1,10,1,0.5422138836772983,0.6636729222520107
9,24,0.1,10,5,0.5390869293308318,0.7493297587131368
10,19,0.1,10,10,0.5478424015009381,0.7923592493297588
11,13,0.1,10,50,0.5565978736710444,0.8313672922252011
12,15,0.3,4,1,0.551594746716698,0.5793565683646112
13,3,0.3,4,5,0.5641025641025641,0.5872654155495979
14,5,0.3,4,10,0.5616010006253909,0.5969168900804289
15,5,0.3,4,50,0.5616010006253909,0.5935656836461126
16,17,0.3,6,1,0.5484677923702314,0.6058981233243967
17,9,0.3,6,5,0.5597248280175109,0.636058981233244
18,11,0.3,6,10,0.557848655409631,0.6513404825737266
19,1,0.3,6,50,0.5653533458411507,0.6510723860589812
20,21,0.3,10,1,0.5422138836772983,0.6636729222520107
21,23,0.3,10,5,0.539712320200125,0.7493297587131368
22,19,0.3,10,10,0.5478424015009381,0.7923592493297588
23,13,0.3,10,50,0.5565978736710444,0.8313672922252011
