,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,17,0.1,4,1,0.5684803001876173,0.5994638069705094
1,3,0.1,4,5,0.5953721075672295,0.6092493297587132
2,9,0.1,4,10,0.5822388993120701,0.6215817694369973
3,1,0.1,4,50,0.5966228893058161,0.6715817694369973
4,10,0.1,6,1,0.5784865540963102,0.6289544235924933
5,5,0.1,6,5,0.5853658536585366,0.6554959785522788
6,10,0.1,6,10,0.5784865540963102,0.6793565683646112
7,4,0.1,6,50,0.5884928080050031,0.7690348525469168
8,19,0.1,10,1,0.5672295184490307,0.7166219839142092
9,15,0.1,10,5,0.5728580362726704,0.8229222520107239
10,14,0.1,10,10,0.575984990619137,0.8521447721179625
11,2,0.1,10,50,0.5959974984365228,0.946514745308311
12,17,0.3,4,1,0.5684803001876173,0.5994638069705094
13,7,0.3,4,5,0.5841150719199499,0.6280160857908847
14,8,0.3,4,10,0.5834896810506567,0.6478552278820375
15,6,0.3,4,50,0.5847404627892433,0.7579088471849866
16,10,0.3,6,1,0.5784865540963102,0.6289544235924933
17,15,0.3,6,5,0.5728580362726704,0.6753351206434316
18,22,0.3,6,10,0.5666041275797373,0.7058981233243968
19,24,0.3,6,50,0.5622263914946842,0.8612600536193029
20,19,0.3,10,1,0.5672295184490307,0.7166219839142092
21,23,0.3,10,5,0.5634771732332708,0.8494638069705094
22,13,0.3,10,10,0.5778611632270169,0.8912868632707774
23,19,0.3,10,50,0.5672295184490307,0.9959785522788204
