,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,12,0.1,4,1,0.555972482801751,0.5857908847184986
1,17,0.1,4,5,0.5534709193245778,0.5924932975871313
2,10,0.1,4,10,0.5590994371482176,0.5981233243967828
3,7,0.1,4,50,0.5597248280175109,0.6400804289544236
4,7,0.1,6,1,0.5597248280175109,0.6060321715817695
5,20,0.1,6,5,0.5509693558474046,0.6427613941018767
6,15,0.1,6,10,0.5553470919324578,0.6583109919571045
7,5,0.1,6,50,0.5603502188868043,0.7353887399463807
8,23,0.1,10,1,0.5290806754221389,0.6784182305630027
9,18,0.1,10,5,0.5528455284552846,0.7848525469168901
10,19,0.1,10,10,0.5522201375859912,0.8317694369973191
11,3,0.1,10,50,0.5647279549718575,0.9270777479892761
12,12,0.3,4,1,0.555972482801751,0.5857908847184986
13,21,0.3,4,5,0.5490931832395247,0.6061662198391421
14,2,0.3,4,10,0.5666041275797373,0.6235924932975871
15,4,0.3,4,50,0.5609756097560976,0.7214477211796246
16,7,0.3,6,1,0.5597248280175109,0.6060321715817695
17,5,0.3,6,5,0.5603502188868043,0.6631367292225201
18,1,0.3,6,10,0.5672295184490307,0.6951742627345845
19,22,0.3,6,50,0.5434646654158849,0.8427613941018767
20,23,0.3,10,1,0.5290806754221389,0.6784182305630027
21,16,0.3,10,5,0.5540963101938712,0.8154155495978552
22,12,0.3,10,10,0.555972482801751,0.8593833780160858
23,11,0.3,10,50,0.5584740462789243,0.9875335120643431
