,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,14,0.1,4,1,0.5478424015009381,0.5729222520107239
1,6,0.1,4,5,0.5641025641025641,0.6005361930294906
2,1,0.1,4,10,0.5784865540963102,0.6058981233243967
3,3,0.1,4,50,0.5678549093183239,0.6337801608579089
4,16,0.1,6,1,0.5472170106316447,0.6056300268096515
5,10,0.1,6,5,0.5597248280175109,0.6304289544235925
6,11,0.1,6,10,0.5528455284552846,0.6530831099195711
7,7,0.1,6,50,0.5622263914946842,0.7002680965147453
8,19,0.1,10,1,0.5422138836772983,0.6824396782841823
9,13,0.1,10,5,0.5484677923702314,0.7447721179624665
10,12,0.1,10,10,0.5509693558474046,0.7745308310991957
11,18,0.1,10,50,0.5465916197623515,0.8611260053619303
12,14,0.3,4,1,0.5478424015009381,0.5729222520107239
13,8,0.3,4,5,0.5609756097560976,0.6065683646112601
14,2,0.3,4,10,0.5709818636647905,0.6150134048257373
15,3,0.3,4,50,0.5678549093183239,0.6899463806970509
16,16,0.3,6,1,0.5472170106316447,0.6056300268096515
17,5,0.3,6,5,0.5666041275797373,0.6521447721179625
18,9,0.3,6,10,0.5603502188868043,0.6721179624664879
19,22,0.3,6,50,0.541588492808005,0.7928954423592494
20,19,0.3,10,1,0.5422138836772983,0.6824396782841823
21,19,0.3,10,5,0.5422138836772983,0.7632707774798928
22,24,0.3,10,10,0.5215759849906192,0.8092493297587131
23,23,0.3,10,50,0.5322076297686054,0.9351206434316354
